Complaint,Category
College email login not working.,IT Support
Wi-Fi disconnects every few minutes.,IT Support
LMS is inaccessible today.,IT Support
Wi-Fi disconnects every few minutes.,IT Support
Printer is jammed in the lab.,IT Support
Wi-Fi disconnects every few minutes.,IT Support
System in lab crashes during practicals.,IT Support
LMS is inaccessible today.,IT Support
LMS is inaccessible today.,IT Support
System in lab crashes during practicals.,IT Support
Wi-Fi disconnects every few minutes.,IT Support
System in lab crashes during practicals.,IT Support
College email login not working.,IT Support
Wi-Fi disconnects every few minutes.,IT Support
Wi-Fi disconnects every few minutes.,IT Support
Printer is jammed in the lab.,IT Support
LMS is inaccessible today.,IT Support
Printer is jammed in the lab.,IT Support
LMS is inaccessible today.,IT Support
System in lab crashes during practicals.,IT Support
Room light is flickering constantly.,Hostel
Washrooms are not clean regularly.,Hostel
Mess food is very oily and cold.,Hostel
Room light is flickering constantly.,Hostel
Water supply is off in the hostel.,Hostel
Washrooms are not clean regularly.,Hostel
Water supply is off in the hostel.,Hostel
Mess food is very oily and cold.,Hostel
Mess food is very oily and cold.,Hostel
Washrooms are not clean regularly.,Hostel
Room light is flickering constantly.,Hostel
Room light is flickering constantly.,Hostel
Washrooms are not clean regularly.,Hostel
Water supply is off in the hostel.,Hostel
Water supply is off in the hostel.,Hostel
Mess food is very oily and cold.,Hostel
Washrooms are not clean regularly.,Hostel
Washrooms are not clean regularly.,Hostel
Washrooms are not clean regularly.,Hostel
Room light is flickering constantly.,Hostel
Lecture cancelled without prior notice.,Academic
Assignments not accepted on portal.,Academic
Clash in exam schedule.,Academic
Assignments not accepted on portal.,Academic
Assignments not accepted on portal.,Academic
Syllabus was incomplete before exam.,Academic
Assignments not accepted on portal.,Academic
Labs don’t have required equipment.,Academic
Assignments not accepted on portal.,Academic
Assignments not accepted on portal.,Academic
Syllabus was incomplete before exam.,Academic
Syllabus was incomplete before exam.,Academic
Syllabus was incomplete before exam.,Academic
Lecture cancelled without prior notice.,Academic
Assignments not accepted on portal.,Academic
Labs don’t have required equipment.,Academic
Labs don’t have required equipment.,Academic
Assignments not accepted on portal.,Academic
Clash in exam schedule.,Academic
Assignments not accepted on portal.,Academic
No invoice received after payment.,Finance
Refund pending for over a month.,Finance
No invoice received after payment.,Finance
Wrong fee breakdown shown online.,Finance
Refund pending for over a month.,Finance
Refund pending for over a month.,Finance
Fee shows unpaid despite payment.,Finance
Refund pending for over a month.,Finance
Scholarship status not updated.,Finance
Wrong fee breakdown shown online.,Finance
No invoice received after payment.,Finance
No invoice received after payment.,Finance
Refund pending for over a month.,Finance
No invoice received after payment.,Finance
Fee shows unpaid despite payment.,Finance
Wrong fee breakdown shown online.,Finance
Wrong fee breakdown shown online.,Finance
Refund pending for over a month.,Finance
Fee shows unpaid despite payment.,Finance
No invoice received after payment.,Finance
Wi-Fi weak in library hall.,Library
Staff refused to issue available book.,Library
Staff refused to issue available book.,Library
Books for ML course are missing.,Library
Wi-Fi weak in library hall.,Library
No seats available in reading area.,Library
Books for ML course are missing.,Library
Library catalog not working.,Library
Staff refused to issue available book.,Library
Wi-Fi weak in library hall.,Library
Library catalog not working.,Library
Books for ML course are missing.,Library
Library catalog not working.,Library
Library catalog not working.,Library
Wi-Fi weak in library hall.,Library
No seats available in reading area.,Library
No seats available in reading area.,Library
No seats available in reading area.,Library
Wi-Fi weak in library hall.,Library
Books for ML course are missing.,Library
Admin office closed during hours.,Admin/HR
No update on bonafide request.,Admin/HR
No update on bonafide request.,Admin/HR
ID card not issued after 2 weeks.,Admin/HR
Admin office closed during hours.,Admin/HR
ID card not issued after 2 weeks.,Admin/HR
ID card not issued after 2 weeks.,Admin/HR
No update on bonafide request.,Admin/HR
No update on bonafide request.,Admin/HR
No update on bonafide request.,Admin/HR
No update on bonafide request.,Admin/HR
No update on bonafide request.,Admin/HR
Internship form not processed.,Admin/HR
No update on bonafide request.,Admin/HR
No one available for form help.,Admin/HR
ID card not issued after 2 weeks.,Admin/HR
No one available for form help.,Admin/HR
No one available for form help.,Admin/HR
Internship form not processed.,Admin/HR
No one available for form help.,Admin/HR
